Vocab-sound-local	Sentence-expression	Sentence-meaning
densha de kodomo ga sawaide ita	電車で子供が騒いでいた。	Kids were making a racket in the train.
watashi no heya ha semai desu	私の部屋は狭いです。	My room is small.
e ni sawaranai de kudasai	絵に触らないでください。	Please don't touch the painting.
watashi ha tabako ga kirai desu	私はタバコが嫌いです。	I hate cigarettes.
sengetsu no nanoka ni mago ga umaremashita	先月の七日に孫が生まれました。	My grandchild was born on the seventh of last month.
watashi no tsukue no ue ni shorui ga takusan arimasu	私の机の上に書類がたくさん有ります。	There are a lot of documents on my desk.
watashi ha asa shawaa wo abimasu	私は朝、シャワーを浴びます。	I take a shower in the morning.
minna isshoukenmei ikite iru	皆一生懸命生きている。	They're all living their lives the best way that they can.
kanojo no kami ha totemo nagai	彼女の髪はとても長い。	Her hair is very long.
kaminoke ga nobita ne	髪の毛が伸びたね。	Your hair's longer, isn't it?
hana ga kayui desu	鼻がかゆいです。	My nose itches.
kare no ude ha futoi	彼の腕は太い。	He has big arms.
watashi ha udedokei wo yottsu motte imasu	私は腕時計を四つ持っています。	I have four wristwatches.
minna ni okashi wo agemashou	みんなにお菓子をあげましょう。	Let's give everyone some sweets.
akanbou ga waratte imasu	赤ん坊が笑っています。	The baby is laughing.
kami to enpitsu ha arimasu ka	紙と鉛筆はありますか。	Do you have paper and pencil?
saifu ha tsukue no shita ni atta	財布は机の下にあった。	My purse was under the desk.
kare ha kaban ni techou wo ireta	彼はかばんに手帳を入れた。	He put the appointment book in his bag.
kanojo ha nemui you desu	彼女は眠いようです。	It looks like she's sleepy.
otto no fuku wo hangaa ni kaketa	夫の服をハンガーに掛けた。	I put my husband's clothes on a hanger.
kata ga korimashita	肩が凝りました。	My shoulders are stiff.
boku ha gakusei desu	僕は学生です。	I'm a student.
asu ha hirugoro kara kumoru deshou	明日は昼頃から曇るでしょう。	It'll probably get cloudy around noon tomorrow.
kare ha dame na otoko da	彼は駄目な男だ。	He's a loser.
neko ga yane ni nobotte iru	猫が屋根に上っている。	The cat's up on the roof.
saru mo ki kara ochiru	猿も木から落ちる。	Monkeys also fall from trees.
watashi ha karada ga joubu da	私は体が丈夫だ。	I'm physically strong.
daijoubu desu ka	大丈夫ですか。	Are you OK?
sofu ga byouki ni natta	祖父が病気になった。	My grandfather got sick.
watashi no sobo ha hyakusai desu	私の祖母は百才です。	My grandmother is 100 years old.
watashi ha kaze wo hikimashita 。	私は風邪を引きました。	I caught a cold.
momo wo itsutsu kudasai	桃を五つください。	I'd like five peaches, please.
kare ha taoru de kao wo fukimashita	彼はタオルで顔を拭きました。	He wiped his face with a towel.
kono kutsu ha totemo karui	この靴はとても軽い。	These shoes are very light.
kanojo ha chairo no kutsu wo haite imasu	彼女は茶色の靴を履いています。	She's wearing brown shoes.
boku ha atarashii kutsu ga hoshii desu	僕は新しい靴が欲しいです。	I want new shoes.
kono kutsu ha ichimanen desu	この靴は1万円です。	These shoes are ten thousand yen.
kanojo ha totemo kirei da	彼女はとても奇麗だ。	She's very beautiful.
nodo ga kawakimashita	喉が渇きました。	I'm thirsty.
kare ni aete ureshikatta	彼に会えて嬉しかった。	I was glad to meet him.
hiza ni itami wo kanjimasu	膝に痛みを感じます。	I feel a pain in my knee.
kakinoki ni mi ga takusan natte imasu	柿の木に実がたくさんなっています。	A lot of fruit is ripening on the persimmon tree.
ringo wo hitotsu kudasai	りんごを一つください。	Please give me one of the apples.
okane ga hotondo arimasen	お金がほとんどありません。	There's hardly any money.
okane ha mada juubun arimasu	お金はまだ十分あります。	We still have plenty of money.
kono keeki ha anata no bun desu	このケーキはあなたの分です。	This is your share of the cake.
anata ha nanika supootsu wo shite imasu ka	あなたは何かスポーツをしていますか。	Which sport do you play?
imamade doko ni ita no desu ka	今までどこにいたのですか。	Where were you until now?
kyou ha gomi no hi da	今日はごみの日だ。	Today is garbage day.
naze konakatta no	なぜ来なかったの。	Why didn't you come?
itsudemo uchi ni kite kudasai	いつでもうちに来てください。	Please come to my house any time.
basu de ikou	バスで行こう。	Let's go by bus.
kyou ha pikunikku ni ikimashou	今日はピクニックに行きましょう。	Let's go on a picnic today.
achira ni itte miyou	あちらに行ってみよう。	Let's go that way.
shounentachi ga sakkaa wo shite iru	少年たちがサッカーをしている。	The boys are playing soccer.
kono shatsu ha sukoshi kitsui desu	このシャツは少しきついです。	This shirt is a little tight.
kyasshukaado de okane wo oroshita	キャッシュカードでお金を下ろした。	I took out some money with my cash card.
annani ii hito ha imasen	あんなにいい人はいません。	There could never be such a good person.
mizu wo ichikappu irete kudasai	水を1カップ入れてください。	Please put in one cup of water.
hairu toki ha doa wo nokku shite kudasai	入る時はドアをノックしてください。	Please knock before entering.
suutsu wo kuriiningu ni dashimashita	スーツをクリーニングに出しました。	I sent the suit to the cleaners.
kono hon anata ni agemasu	この本、あなたにあげます。	I'll give you this book.
nippon he youkoso	日本へようこそ。	Welcome to Japan.
sokode shibaraku yasunde imasu	そこでしばらく休んでいます。	He's resting over there for a while.
deguchi ha asoko desu	出口はあそこです。	The exit's over there.
daibu piano ga umaku narimashita	大分ピアノが上手くなりました。	You've gotten pretty good at the piano.
hankachi de te wo fukimashita	ハンカチで手をふきました。	I wiped my hands with my handkerchief.
senshuu ha umi ni itta	先週は海に行った。	I went to the beach last week.
otokonokotachi ga sakkaa wo shite iru	男の子たちがサッカーをしている。	The boys are playing soccer.
ano ko ha oshare da ne	あの子はおしゃれだね。	That girl is trendy.
kodomo ha kareeraisu ga suki desu	子供はカレーライスが好きです。	Children like curry and rice.
sono ko ha itazura ga daisuki da	その子はいたずらが大好きだ。	That kid loves playing tricks.
watashi ha ishi ni tsumazuita	私は石につまづいた。	I tripped on a stone.
watashitachi ha hayashi no naka ni haitte itta	私たちは林の中に入っていった。	We entered the woods.
watashi ha budou ga suki desu	私はぶどうが好きです。	I like grapes.
watashi ha orenji ga suki desu	私はオレンジが好きです。	I like oranges.
watashi ha tomato ga daisuki desu	私はトマトが大好きです。	I love tomatoes.
watashi ha anaunsaa ni naritai	私はアナウンサーになりたい。	I want to become an announcer.
watashi no booifurendo ha hansamuna kata deshita	私のボーイフレンドはハンサムな方でした。	My boyfriend was a handsome man.
watashi ha onaka ga pekopeko desu	私はおなかがぺこぺこです。	I'm very hungry.
watashi no shaapupenshiru ga arimasen	私のシャープペンシルがありません。	My mechanical pencil is missing.
watashi ha ebi no tenpura ga suki desu	私はえびのてんぷらが好きです。	I like shrimp tempura.
tomodachi to kyanpu ni itta	友達とキャンプに行った。	I went camping with a friend.
koko ga watashi no ie desu	ここが私の家です。	This is my house.
koko ha kuuki ga kirei desu	ここは空気がきれいです。	The air here is clean.
kono bando ha totemo ninki ga aru yo	このバンドはとても人気があるよ。	That band is very popular.
yama no kuuki ha kirei da	山の空気はきれいだ。	The mountain air is clean.
koko no umi ha totemo aoi	ここの海はとても青い。	The sea here is very blue.
asu no tenki ha hare desu	明日の天気は晴れです。	Tomorrow's weather will be sunny.
ashita mata kimasu	明日、また来ます。	I'll come again tomorrow.
kinou ha yuujin to haikingu ni ikimashita	昨日は友人とハイキングに行きました。	I went hiking with a friend yesterday.
higashi no sora ga kurai desu	東の空が暗いです。	The eastern sky is dark.
higashi no sora ga kurai desu	東の空が暗いです。	The eastern sky is dark.
roshia ha nippon no kita ni arimasu	ロシアは日本の北にあります。	Russia is north of Japan.
tomodachi ha mukou ni imasu	友達は向こうにいます。	My friend is over there.
kotchi wo muite kudasai	こっちを向いてください。	Please turn this way.
iriguchi ha mukou desu	入り口は向こうです。	The entrance is over there.
ashita uchi de paateii wo hirakimasu	明日、うちでパーティーを開きます。	Tomorrow I'm having a party at my house.
sanjuunipeeji wo hiraite kudasai	32ページを開いてください。	Please open to page 32.
nooto wo hiraite kudasai	ノートを開いてください。	Please open your notebook.
fusuma wo shimete kudasai	ふすまを閉めてください。	Please close the sliding door.
ano suutsu ha sonnani takaku nai	あのスーツはそんなに高くない。	That suit is reasonably priced.
hajime ha umaku dekimasen deshita 。	初めは上手くできませんでした。	I couldn't do it well at first.
asatte ha kyuujitsu desu 。	明後日は休日です。	The day after tomorrow's a holiday.
nippon ni kite hantoshi ni narimasu	日本に来て半年になります。	It has been half a year since I came to Japan.
hantsukimae ni nihon ni kimashita	半月前に日本に来ました。	I came to Japan half a month ago.
asa kaaten wo aketa	朝、カーテンを開けた。	I opened the curtains in the morning.
watashi ha maiasa jogingu wo shimasu	私は毎朝ジョギングをします。	I jog every morning.
