Vocab-sound-local	Sentence-expression	Sentence-meaning
onamae wo katakana de kaite kudasai	お名前を片仮名で書いてください。	Please write your name in katakana.	1
watashi ha hiragana wo zenbu yomemasu	私は平仮名を全部読めます。	I can read all the hiragana.	1
sono eiga ha totemo kanashikatta	その映画はとても悲しかった。	That movie was very sad.	1
kono e ha utsukushii desu	この絵は美しいです。	This picture is beautiful.	1
nippon no tabemono ha totemo oishii desu	日本の食べ物はとても美味しいです。	Japanese food is very delicious.	1
joushi ga ippai nomou to itta	上司が「一杯、飲もう。」と言った。	"My boss said: ""Let's have a drink."""	1
kare ha watashi no joushi desu	彼は私の上司です。	He's my senior.	1
kyou ha nihongo no jugyou ga arimasu	今日は日本語の授業があります。	There's going to be a Japanese class today.	1
okaasan ni yoroshiku otsutae kudasai	お母さんによろしくお伝えください。	Please give my best to your mother.	1
watashi ga tetsudaimashou	私が手伝いましょう。	Can I help you?	1
tori ga tonde imasu	鳥が飛んでいます。	A bird is flying.	1
watashitachi ha ooki na koe de utaimashita	私たちは大きな声で歌いました。	We sang loudly.	1
inu ga byouki de shinimashita。	犬が病気で死にました。	Our dog got sick and died.	1
watashi ha inu ga daisuki da	私は犬が大好きだ。	I love dogs.	1
densha de kodomo ga sawaide ita	電車で子供が騒いでいた。	Kids were making a racket in the train.	1
watashi no heya ha semai desu	私の部屋は狭いです。	My room is small.	1
e ni sawaranai de kudasai	絵に触らないでください。	Please don't touch the painting.	1
watashi ha tabako ga kirai desu	私はタバコが嫌いです。	I hate cigarettes.	1
sengetsu no nanoka ni mago ga umaremashita	先月の七日に孫が生まれました。	My grandchild was born on the seventh of last month.	1
watashi no tsukue no ue ni shorui ga takusan arimasu	私の机の上に書類がたくさん有ります。	There are a lot of documents on my desk.	1
watashi ha asa shawaa wo abimasu	私は朝、シャワーを浴びます。	I take a shower in the morning.	1
minna isshoukenmei ikite iru	皆一生懸命生きている。	They're all living their lives the best way that they can.	1
kanojo no kami ha totemo nagai	彼女の髪はとても長い。	Her hair is very long.	1
kaminoke ga nobita ne	髪の毛が伸びたね。	Your hair's longer, isn't it?	1
hana ga kayui desu	鼻がかゆいです。	My nose itches.	1
kare no ude ha futoi	彼の腕は太い。	He has big arms.	1
watashi ha udedokei wo yottsu motte imasu	私は腕時計を四つ持っています。	I have four wristwatches.	1
minna ni okashi wo agemashou	みんなにお菓子をあげましょう。	Let's give everyone some sweets.	1
akanbou ga waratte imasu	赤ん坊が笑っています。	The baby is laughing.	1
kami to enpitsu ha arimasu ka	紙と鉛筆はありますか。	Do you have paper and pencil?	1
saifu ha tsukue no shita ni atta	財布は机の下にあった。	My purse was under the desk.	1
kare ha kaban ni techou wo ireta	彼はかばんに手帳を入れた。	He put the appointment book in his bag.	1
kanojo ha nemui you desu	彼女は眠いようです。	It looks like she's sleepy.	1
otto no fuku wo hangaa ni kaketa	夫の服をハンガーに掛けた。	I put my husband's clothes on a hanger.	1
kata ga korimashita	肩が凝りました。	My shoulders are stiff.	1
boku ha gakusei desu	僕は学生です。	I'm a student.	1
asu ha hirugoro kara kumoru deshou	明日は昼頃から曇るでしょう。	It'll probably get cloudy around noon tomorrow.	1
kare ha dame na otoko da	彼は駄目な男だ。	He's a loser.	1
neko ga yane ni nobotte iru	猫が屋根に上っている。	The cat's up on the roof.	1
saru mo ki kara ochiru	猿も木から落ちる。	Monkeys also fall from trees.	1
watashi ha karada ga joubu da	私は体が丈夫だ。	I'm physically strong.	1
daijoubu desu ka	大丈夫ですか。	Are you OK?	1
sofu ga byouki ni natta	祖父が病気になった。	My grandfather got sick.	1
watashi no sobo ha hyakusai desu	私の祖母は百才です。	My grandmother is 100 years old.	1
watashi ha kaze wo hikimashita 。	私は風邪を引きました。	I caught a cold.	1
momo wo itsutsu kudasai	桃を五つください。	I'd like five peaches, please.	1
kare ha taoru de kao wo fukimashita	彼はタオルで顔を拭きました。	He wiped his face with a towel.	1
kono kutsu ha totemo karui	この靴はとても軽い。	These shoes are very light.	1
kanojo ha chairo no kutsu wo haite imasu	彼女は茶色の靴を履いています。	She's wearing brown shoes.	1
boku ha atarashii kutsu ga hoshii desu	僕は新しい靴が欲しいです。	I want new shoes.	1
kono kutsu ha ichimanen desu	この靴は1万円です。	These shoes are ten thousand yen.	1
kanojo ha totemo kirei da	彼女はとても奇麗だ。	She's very beautiful.	1
nodo ga kawakimashita	喉が渇きました。	I'm thirsty.	1
kare ni aete ureshikatta	彼に会えて嬉しかった。	I was glad to meet him.	1
hiza ni itami wo kanjimasu	膝に痛みを感じます。	I feel a pain in my knee.	1
kakinoki ni mi ga takusan natte imasu	柿の木に実がたくさんなっています。	A lot of fruit is ripening on the persimmon tree.	1
ringo wo hitotsu kudasai	りんごを一つください。	Please give me one of the apples.	1
okane ga hotondo arimasen	お金がほとんどありません。	There's hardly any money.	1
okane ha mada juubun arimasu	お金はまだ十分あります。	We still have plenty of money.	1
kono keeki ha anata no bun desu	このケーキはあなたの分です。	This is your share of the cake.	1
anata ha nanika supootsu wo shite imasu ka	あなたは何かスポーツをしていますか。	Which sport do you play?	1
imamade doko ni ita no desu ka	今までどこにいたのですか。	Where were you until now?	1
kyou ha gomi no hi da	今日はごみの日だ。	Today is garbage day.	1
naze konakatta no	なぜ来なかったの。	Why didn't you come?	1
itsudemo uchi ni kite kudasai	いつでもうちに来てください。	Please come to my house any time.	1
basu de ikou	バスで行こう。	Let's go by bus.	1
kyou ha pikunikku ni ikimashou	今日はピクニックに行きましょう。	Let's go on a picnic today.	1
achira ni itte miyou	あちらに行ってみよう。	Let's go that way.	1
shounentachi ga sakkaa wo shite iru	少年たちがサッカーをしている。	The boys are playing soccer.	1
kono shatsu ha sukoshi kitsui desu	このシャツは少しきついです。	This shirt is a little tight.	1
kyasshukaado de okane wo oroshita	キャッシュカードでお金を下ろした。	I took out some money with my cash card.	1
annani ii hito ha imasen	あんなにいい人はいません。	There could never be such a good person.	1
mizu wo ichikappu irete kudasai	水を1カップ入れてください。	Please put in one cup of water.	1
hairu toki ha doa wo nokku shite kudasai	入る時はドアをノックしてください。	Please knock before entering.	1
suutsu wo kuriiningu ni dashimashita	スーツをクリーニングに出しました。	I sent the suit to the cleaners.	1
kono hon anata ni agemasu	この本、あなたにあげます。	I'll give you this book.	1
nippon he youkoso	日本へようこそ。	Welcome to Japan.	1
sokode shibaraku yasunde imasu	そこでしばらく休んでいます。	He's resting over there for a while.	1
deguchi ha asoko desu	出口はあそこです。	The exit's over there.	1
daibu piano ga umaku narimashita	大分ピアノが上手くなりました。	You've gotten pretty good at the piano.	1
hankachi de te wo fukimashita	ハンカチで手をふきました。	I wiped my hands with my handkerchief.	1
senshuu ha umi ni itta	先週は海に行った。	I went to the beach last week.	1
otokonokotachi ga sakkaa wo shite iru	男の子たちがサッカーをしている。	The boys are playing soccer.	1
ano ko ha oshare da ne	あの子はおしゃれだね。	That girl is trendy.	1
kodomo ha kareeraisu ga suki desu	子供はカレーライスが好きです。	Children like curry and rice.	1
sono ko ha itazura ga daisuki da	その子はいたずらが大好きだ。	That kid loves playing tricks.	1
watashi ha ishi ni tsumazuita	私は石につまづいた。	I tripped on a stone.	1
watashitachi ha hayashi no naka ni haitte itta	私たちは林の中に入っていった。	We entered the woods.	1
watashi ha budou ga suki desu	私はぶどうが好きです。	I like grapes.	1
watashi ha orenji ga suki desu	私はオレンジが好きです。	I like oranges.	1
watashi ha tomato ga daisuki desu	私はトマトが大好きです。	I love tomatoes.	1
watashi ha anaunsaa ni naritai	私はアナウンサーになりたい。	I want to become an announcer.	1
watashi no booifurendo ha hansamuna kata deshita	私のボーイフレンドはハンサムな方でした。	My boyfriend was a handsome man.	1
watashi ha onaka ga pekopeko desu	私はおなかがぺこぺこです。	I'm very hungry.	1
watashi no shaapupenshiru ga arimasen	私のシャープペンシルがありません。	My mechanical pencil is missing.	1
watashi ha ebi no tenpura ga suki desu	私はえびのてんぷらが好きです。	I like shrimp tempura.	1
tomodachi to kyanpu ni itta	友達とキャンプに行った。	I went camping with a friend.	1
koko ga watashi no ie desu	ここが私の家です。	This is my house.	1
koko ha kuuki ga kirei desu	ここは空気がきれいです。	The air here is clean.	1
kono bando ha totemo ninki ga aru yo	このバンドはとても人気があるよ。	That band is very popular.	1
yama no kuuki ha kirei da	山の空気はきれいだ。	The mountain air is clean.	2
koko no umi ha totemo aoi	ここの海はとても青い。	The sea here is very blue.	1
asu no tenki ha hare desu	明日の天気は晴れです。	Tomorrow's weather will be sunny.	1
ashita mata kimasu	明日、また来ます。	I'll come again tomorrow.	1
kinou ha yuujin to haikingu ni ikimashita	昨日は友人とハイキングに行きました。	I went hiking with a friend yesterday.	1
higashi no sora ga kurai desu	東の空が暗いです。	The eastern sky is dark.	1
higashi no sora ga kurai desu	東の空が暗いです。	The eastern sky is dark.	1
roshia ha nippon no kita ni arimasu	ロシアは日本の北にあります。	Russia is north of Japan.	1
tomodachi ha mukou ni imasu	友達は向こうにいます。	My friend is over there.	1
kotchi wo muite kudasai	こっちを向いてください。	Please turn this way.	1
iriguchi ha mukou desu	入り口は向こうです。	The entrance is over there.	1
ashita uchi de paateii wo hirakimasu	明日、うちでパーティーを開きます。	Tomorrow I'm having a party at my house.	1
sanjuunipeeji wo hiraite kudasai	32ページを開いてください。	Please open to page 32.	1
nooto wo hiraite kudasai	ノートを開いてください。	Please open your notebook.	1
fusuma wo shimete kudasai	ふすまを閉めてください。	Please close the sliding door.	1
ano suutsu ha sonnani takaku nai	あのスーツはそんなに高くない。	That suit is reasonably priced.	1
